Microsoft (R) COFF/PE Dumper Version 14.14.26433.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file win2k3-user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    45E6EABE time date stamp Fri Mar  2 00:01:18 2007
        0.00 version
           1 ordinal base
         731 number of functions
         731 number of names

    ordinal hint RVA      name

          1    0 00013116 ActivateKeyboardLayout
          2    1 0002A17A AdjustWindowRect
          3    2 0000FE99 AdjustWindowRectEx
          4    3 0005E479 AlignRects
          5    4 000492AE AllowForegroundActivation
          6    5 0002A931 AllowSetForegroundWindow
          7    6 0005B64E AnimateWindow
          8    7 0005AD54 AnyPopup
          9    8 0002B812 AppendMenuA
         10    9 00007800 AppendMenuW
         11    A 00048D04 ArrangeIconicWindows
         12    B 000302D9 AttachThreadInput
         13    C 00011696 BeginDeferWindowPos
         14    D 0001CB92 BeginPaint
         15    E 0005DAA5 BlockInput
         16    F 0002A51A BringWindowToTop
         17   10 0005C374 BroadcastSystemMessage
         18   11 0005C374 BroadcastSystemMessageA
         19   12 0005C34D BroadcastSystemMessageExA
         20   13 00005997 BroadcastSystemMessageExW
         21   14 000210E7 BroadcastSystemMessageW
         22   15 0005950D BuildReasonArray
         23   16 0005DEE9 CalcMenuBar
         24   17 0005C717 CallMsgFilter
         25   18 0005C717 CallMsgFilterA
         26   19 00015C48 CallMsgFilterW
         27   1A 0001C062 CallNextHookEx
         28   1B 00030448 CallWindowProcA
         29   1C 0001BF59 CallWindowProcW
         30   1D 00048D1C CascadeChildWindows
         31   1E 00056A0D CascadeWindows
         32   1F 00026163 ChangeClipboardChain
         33   20 0005C907 ChangeDisplaySettingsA
         34   21 0005C66D ChangeDisplaySettingsExA
         35   22 0004B9FB ChangeDisplaySettingsExW
         36   23 0004BA3B ChangeDisplaySettingsW
         37   24 000401F1 ChangeMenuA
         38   25 00056C32 ChangeMenuW
         39   26 0001E401 CharLowerA
         40   27 0001E49A CharLowerBuffA
         41   28 0001E3C5 CharLowerBuffW
         42   29 0000FC01 CharLowerW
         43   2A 0000B9EE CharNextA
         44   2B 00005820 CharNextExA
         45   2C 00013BBC CharNextW
         46   2D 0000DEA4 CharPrevA
         47   2E 0005A916 CharPrevExA
         48   2F 00013AA8 CharPrevW
         49   30 0000C441 CharToOemA
         50   31 0001F9EB CharToOemBuffA
         51   32 0005845F CharToOemBuffW
         52   33 00005ABF CharToOemW
         53   34 0001E0F8 CharUpperA
         54   35 0001E313 CharUpperBuffA
         55   36 0001E0BC CharUpperBuffW
         56   37 0001E081 CharUpperW
         57   38 00006B2B CheckDlgButton
         58   39 000061EB CheckMenuItem
         59   3A 00005BCA CheckMenuRadioItem
         60   3B 0004CD5B CheckRadioButton
         61   3C 0002E294 ChildWindowFromPoint
         62   3D 0002E280 ChildWindowFromPointEx
         63   3E 00047479 CliImmSetHotKey
         64   3F 0001DB85 ClientThreadSetup
         65   40 000118A9 ClientToScreen
         66   41 0001F8E3 ClipCursor
         67   42 000304D8 CloseClipboard
         68   43 0000AE44 CloseDesktop
         69   44 00048D3D CloseWindow
         70   45 0000AE58 CloseWindowStation
