Microsoft (R) COFF/PE Dumper Version 14.14.26433.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file win2kjp-user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    425AECAF time date stamp Tue Apr 12 06:31:27 2005
        0.00 version
           1 ordinal base
         695 number of functions
         695 number of names

    ordinal hint RVA      name

          1    0 0002B500 ActivateKeyboardLayout
          2    1 00019145 AdjustWindowRect
          3    2 00012658 AdjustWindowRectEx
          4    3 00007EDE AlignRects
          5    4 00015A49 AllowSetForegroundWindow
          6    5 00010475 AnimateWindow
          7    6 000557D8 AnyPopup
          8    7 00009E1B AppendMenuA
          9    8 0000E0BD AppendMenuW
         10    9 0004755F ArrangeIconicWindows
         11    A 0000446B AttachThreadInput
         12    B 0001F954 BeginDeferWindowPos
         13    C 0002BA20 BeginPaint
         14    D 00057B98 BlockInput
         15    E 0000FB9C BringWindowToTop
         16    F 00056318 BroadcastSystemMessage
         17   10 00056318 BroadcastSystemMessageA
         18   11 00008245 BroadcastSystemMessageW
         19   12 0005661B CallMsgFilter
         20   13 0005661B CallMsgFilterA
         21   14 00022988 CallMsgFilterW
         22   15 00011340 CallNextHookEx
         23   16 00017E12 CallWindowProcA
         24   17 0002AFAC CallWindowProcW
         25   18 00047572 CascadeChildWindows
         26   19 00051C09 CascadeWindows
         27   1A 0000FEE2 ChangeClipboardChain
         28   1B 00056567 ChangeDisplaySettingsA
         29   1C 0005658A ChangeDisplaySettingsExA
         30   1D 00049CAB ChangeDisplaySettingsExW
         31   1E 00049C88 ChangeDisplaySettingsW
         32   1F 00044317 ChangeMenuA
         33   20 00051E20 ChangeMenuW
         34   21 00028C6F CharLowerA
         35   22 00012A74 CharLowerBuffA
         36   23 000232F2 CharLowerBuffW
         37   24 0002332E CharLowerW
         38   25 0001581E CharNextA
         39   26 00055551 CharNextExA
         40   27 00023EBD CharNextW
         41   28 000169F1 CharPrevA
         42   29 00055585 CharPrevExA
         43   2A 00023E6A CharPrevW
         44   2B 00010E4F CharToOemA
         45   2C 0001165E CharToOemBuffA
         46   2D 00053909 CharToOemBuffW
         47   2E 000538BD CharToOemW
         48   2F 000335C9 CharUpperA
         49   30 00033606 CharUpperBuffA
         50   31 00033374 CharUpperBuffW
         51   32 00014A62 CharUpperW
         52   33 000187D6 CheckDlgButton
         53   34 0001A495 CheckMenuItem
         54   35 0001A4FE CheckMenuRadioItem
         55   36 00009F74 CheckRadioButton
         56   37 0001596E ChildWindowFromPoint
         57   38 0001595B ChildWindowFromPointEx
         58   39 00045869 CliImmSetHotKey
         59   3A 00032682 ClientThreadSetup
         60   3B 0002CA3B ClientToScreen
         61   3C 000116C3 ClipCursor
         62   3D 000109BB CloseClipboard
         63   3E 000155DE CloseDesktop
         64   3F 0004758F CloseWindow
         65   40 000155F1 CloseWindowStation
         66   41 0000A413 CopyAcceleratorTableA
         67   42 0000D4AD CopyAcceleratorTableW
         68   43 0000BC77 CopyIcon
         69   44 000217A3 CopyImage
         70   45 0002245A CopyRect
         71   46 0000FB77 CountClipboardFormats
         72   47 00009E9D CreateAcceleratorTableA
         73   48 0001F888 CreateAcceleratorTableW
