Microsoft (R) COFF/PE Dumper Version 14.14.26433.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file win10-wow64-user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    BEAA4463 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1001 number of names

    ordinal hint RVA      name

       1506    0 0003BFA0 ActivateKeyboardLayout
       1507    1 0003BA80 AddClipboardFormatListener
       1508    2 00014980 AdjustWindowRect
       1509    3 00017760 AdjustWindowRectEx
       1510    4 0007ED70 AdjustWindowRectExForDpi
       1511    5 0008D310 AlignRects
       1512    6 00084A80 AllowForegroundActivation
       1513    7 00084A90 AllowSetForegroundWindow
       1514    8 00025CB0 AnimateWindow
       1515    9 0007EDD0 AnyPopup
       1516    A 0008B290 AppendMenuA
       1517    B 00086390 AppendMenuW
       1518    C 0002BC70 AreDpiAwarenessContextsEqual
       1519    D 00084AB0 ArrangeIconicWindows
       1520    E 0003C350 AttachThreadInput
       1521    F 0002D260 BeginDeferWindowPos
       1522   10 0003C370 BeginPaint
       1523   11 0003C380 BlockInput
       1524   12 0002E870 BringWindowToTop
       1525   13 0008B2E0 BroadcastSystemMessage
       1526   14 0008B2E0 BroadcastSystemMessageA
       1527   15 0008B310 BroadcastSystemMessageExA
       1528   16 000863E0 BroadcastSystemMessageExW
       1529   17 00086410 BroadcastSystemMessageW
       1530   18 00079F30 BuildReasonArray
       1531   19 0003C3A0 CalcMenuBar
       1532   1A 0003C3B0 CalculatePopupWindowPosition
       1533   1B 00080130 CallMsgFilter
       1534   1C 00080130 CallMsgFilterA
       1535   1D 0001A400 CallMsgFilterW
       1536   1E 0003A890 CallNextHookEx
       1537   1F 00018D00 CallWindowProcA
       1538   20 00017A70 CallWindowProcW
       1539   21 0005FE90 CancelShutdown
       1540   22 00084AD0 CascadeChildWindows
       1541   23 00075650 CascadeWindows
       1542   24 0002FDE0 ChangeClipboardChain
       1543   25 00080220 ChangeDisplaySettingsA
       1544   26 00080250 ChangeDisplaySettingsExA
       1545   27 00089360 ChangeDisplaySettingsExW
       1546   28 000894A0 ChangeDisplaySettingsW
       1547   29 00075990 ChangeMenuA
       1548   2A 00075A40 ChangeMenuW
       1549   2B 0003BA40 ChangeWindowMessageFilter
       1555   2C 0003C3D0 ChangeWindowMessageFilterEx
       1556   2D 0002F9D0 CharLowerA
       1557   2E 000820F0 CharLowerBuffA
       1558   2F 0002FDC0 CharLowerBuffW
       1559   30 00082110 CharLowerW
       1560   31 00028DA0 CharNextA
       1561   32 00082130 CharNextExA
       1562   33 0002EF90 CharNextW
       1563   34 0002F460 CharPrevA
       1564   35 00082150 CharPrevExA
       1565   36 00082170 CharPrevW
       1566   37 00078A70 CharToOemA
       1567   38 0002F010 CharToOemBuffA
       1568   39 00078AC0 CharToOemBuffW
       1569   3A 00078B10 CharToOemW
       1570   3B 00030020 CharUpperA
       1571   3C 00082190 CharUpperBuffA
       1572   3D 000821B0 CharUpperBuffW
       1573   3E 0003B980 CharUpperW
       1574   3F 00028340 CheckDBCSEnabledExt
       1575   40 000145B0 CheckDlgButton
       1576   41 000227B0 CheckMenuItem
       1577   42 00075AF0 CheckMenuRadioItem
       1578   43 0003C3E0 CheckProcessForClipboardAccess
       1579   44 0003C3F0 CheckProcessSession
       1580   45 00063100 CheckRadioButton
       1581   46 0003C400 CheckWindowThreadDesktop
       1582   47 00084B00 ChildWindowFromPoint
