Microsoft (R) COFF/PE Dumper Version 14.14.26433.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file win10-wow64-user32.dll
       1583   48 0003C410 ChildWindowFromPointEx
       1584   49 00054350 CliImmSetHotKey
       1585   4A 0003AE40 ClientThreadSetup
       1586   4B 00014C30 ClientToScreen
       1587   4C 0003C430 ClipCursor
       1588   4D 0002F6E0 CloseClipboard
       1589   4E 0003C440 CloseDesktop
       1590   4F 00058B50 CloseGestureInfoHandle
       1591   50 0005B890 CloseTouchInputHandle
       1592   51 00084B90 CloseWindow
       1593   52 0003C450 CloseWindowStation
       1594   53 0005FEE0 ConsoleControl
       1595   54 0003C490 ControlMagnification
       1596   55 0005AF10 CopyAcceleratorTableA
       1597   56 0003C4A0 CopyAcceleratorTableW
       1598   57 00028E20 CopyIcon
       1599   58 000291E0 CopyImage
       1600   59 00027ED0 CopyRect
       1601   5A 0002FFB0 CountClipboardFormats
       1602   5B 0005AF70 CreateAcceleratorTableA
       1603   5C 0003C4B0 CreateAcceleratorTableW
       1604   5D 0002EAE0 CreateCaret
       1605   5E 0005AFC0 CreateCursor
       1606   5F 0003C4C0 CreateDCompositionHwndTarget
       1607   60 00084BD0 CreateDesktopA
       1608   61 00084C00 CreateDesktopExA
       1609   62 00084D00 CreateDesktopExW
       1610   63 00084D50 CreateDesktopW
       1611   64 000136E0 CreateDialogIndirectParamA
       1612   65 00014F00 CreateDialogIndirectParamAorW
       1613   66 00014DD0 CreateDialogIndirectParamW
       1614   67 00013620 CreateDialogParamA
       1615   68 00013A60 CreateDialogParamW
       1616   69 0005B080 CreateIcon
       1617   6A 0005B130 CreateIconFromResource
       1618   6B 0002A080 CreateIconFromResourceEx
       1619   6C 00028FC0 CreateIconIndirect
       1620   6D 00075680 CreateMDIWindowA
       1621   6E 000756C0 CreateMDIWindowW
       1622   6F 0002FB50 CreateMenu
       1503   70 00082B80 CreatePalmRejectionDelayZone
       1623   71 0002FF50 CreatePopupMenu
       1624   72 00086850 CreateSystemThreads
       1625   73 0002D910 CreateWindowExA
       1626   74 00031F20 CreateWindowExW
       1627   75 0007EE30 CreateWindowInBand
       1628   76 0007EE80 CreateWindowInBandEx
       1629   77 0007EED0 CreateWindowIndirect
       1630   78 00084D80 CreateWindowStationA
       1631   79 00084DD0 CreateWindowStationW
       1632   7A 0005FF70 CsrBroadcastSystemMessageExW
       1633   7B 00086870 CtxInitUser32
       1634   7C 0007AA20 DWMBindCursorToOutputConfig
       1635   7D 0007AA40 DWMCommitInputSystemOutputConfig
       1636   7E 0007AA50 DWMSetCursorOrientation
       1637   7F 0007AA70 DWMSetInputSystemOutputConfig
       1638   80 0007F290 DdeAbandonTransaction
       1639   81 0006B360 DdeAccessData
       1640   82 0006B3E0 DdeAddData
       1641   83 0007F330 DdeClientTransaction
       1642   84 0006C220 DdeCmpStringHandles
       1643   85 0005F3D0 DdeConnect
       1644   86 0005F480 DdeConnectList
       1645   87 0006B520 DdeCreateDataHandle
       1646   88 0006C240 DdeCreateStringHandleA
       1647   89 0006C270 DdeCreateStringHandleW
       1648   8A 0005F6B0 DdeDisconnect
       1649   8B 0005F730 DdeDisconnectList
       1650   8C 000578D0 DdeEnableCallback
       1651   8D 0006B610 DdeFreeDataHandle
       1652   8E 0006C2A0 DdeFreeStringHandle
       1653   8F 0006B670 DdeGetData
       1654   90 00061010 DdeGetLastError
       1655   91 0005F800 DdeGetQualityOfService
       1656   92 00061060 DdeImpersonateClient
       1657   93 000610C0 DdeInitializeA
       1658   94 000610F0 DdeInitializeW
       1659   95 0006C340 DdeKeepStringHandle
       1660   96 00061120 DdeNameService
       1661   97 0007F920 DdePostAdvise
       1662   98 0007FB70 DdeQueryConvInfo
       1663   99 0005F810 DdeQueryNextServer
       1664   9A 0006C3E0 DdeQueryStringA
       1665   9B 0006C410 DdeQueryStringW
       1666   9C 0005F920 DdeReconnect
       1667   9D 0005FA70 DdeSetQualityOfService
       1668   9E 0007FD20 DdeSetUserHandle
       1669   9F 0006B780 DdeUnaccessData
       1670   A0 00061360 DdeUninitialize
       1671   A1          DefDlgProcA (forwarded to NTDLL.NtdllDialogWndProc_A)
       1672   A2          DefDlgProcW (forwarded to NTDLL.NtdllDialogWndProc_W)
       1673   A3 00023610 DefFrameProcA
       1674   A4 00075700 DefFrameProcW
       1675   A5 00021590 DefMDIChildProcA
       1676   A6 00075730 DefMDIChildProcW
       1677   A7 0005A270 DefRawInputProc
       1678   A8          DefWindowProcA (forwarded to NTDLL.NtdllDefWindowProc_A)
       1679   A9          DefWindowProcW (forwarded to NTDLL.NtdllDefWindowProc_W)
       1680   AA 0002BE10 DeferWindowPos
       1681   AB 00084E00 DeferWindowPosAndBand
       2503   AC 0003C4F0 DelegateInput
       1682   AD 0003C500 DeleteMenu
       1683   AE 0002FEC0 DeregisterShellHookWindow
       1684   AF 00029C70 DestroyAcceleratorTable
       1685   B0 0002F670 DestroyCaret
       1686   B1 0002DF10 DestroyCursor
       1687   B2 0003C520 DestroyDCompositionHwndTarget
       1688   B3 0002DF10 DestroyIcon
       1689   B4 0003C530 DestroyMenu
       1504   B5 00082D10 DestroyPalmRejectionDelayZone
       1690   B6 0007A060 DestroyReasons
       1691   B7 0003C540 DestroyWindow
       1692   B8 0005B160 DialogBoxIndirectParamA
       1693   B9 000149F0 DialogBoxIndirectParamAorW
       1694   BA 000149C0 DialogBoxIndirectParamW
       1695   BB 0005B190 DialogBoxParamA
       1696   BC 0005B250 DialogBoxParamW
       1697   BD 00084E40 DisableProcessWindowsGhosting
       1698   BE 0002CDC0 DispatchMessageA
       1699   BF 00037A70 DispatchMessageW
       1700   C0 0002E8C0 DisplayConfigGetDeviceInfo
       1701   C1 0008CBC0 DisplayConfigSetDeviceInfo
       1702   C2 00060000 DisplayExitWindowsWarnings
       1703   C3 00072950 DlgDirListA
       1704   C4 0005DF60 DlgDirListComboBoxA
       1705   C5 0005E000 DlgDirListComboBoxW
       1706   C6 000729F0 DlgDirListW
       1707   C7 0005E040 DlgDirSelectComboBoxExA
       1708   C8 0005E0A0 DlgDirSelectComboBoxExW
       1709   C9 00072A30 DlgDirSelectExA
       1710   CA 00072AA0 DlgDirSelectExW
       1711   CB 0003C560 DoSoundConnect
       1712   CC 0003C570 DoSoundDisconnect
       1713   CD 0003C580 DragDetect
       1714   CE 0003C590 DragObject
       1715   CF 0003C5A0 DrawAnimatedRects
       1716   D0 0008A740 DrawCaption
       1717   D1 00080430 DrawCaptionTempA
       1718   D2 000894D0 DrawCaptionTempW
       1719   D3 0002AAB0 DrawEdge
       1720   D4 0002BEF0 DrawFocusRect
       1721   D5 0008DF30 DrawFrame
       1722   D6 00016AA0 DrawFrameControl
       1723   D7 0002A9C0 DrawIcon
       1724   D8 0002A9F0 DrawIconEx
       1725   D9 0002EF70 DrawMenuBar
       1726   DA 00075C70 DrawMenuBarTemp
       1727   DB 00076490 DrawStateA
       1728   DC 0001FC80 DrawStateW
       1729   DD 00024290 DrawTextA
       1730   DE 000241D0 DrawTextExA
       1731   DF 000201D0 DrawTextExW
       1732   E0 0001FEF0 DrawTextW
       1553   E1 0007A3C0 DwmGetDxRgn
       1733   E2 0007A3D0 DwmGetDxSharedSurface
       1734   E3 0003C5B0 DwmGetRemoteSessionOcclusionEvent
       1735   E4 0003C5C0 DwmGetRemoteSessionOcclusionState
       1736   E5 0003C5D0 DwmKernelShutdown
       1737   E6 0003C5E0 DwmKernelStartup
       1738   E7 00084E50 DwmLockScreenUpdates
       1739   E8 0003C5F0 DwmValidateWindow
       1740   E9 0001D9A0 EditWndProc
       1741   EA 0002FF60 EmptyClipboard
       1742   EB 000238D0 EnableMenuItem
       1743   EC 0003C620 EnableMouseInPointer
       1744   ED 0003C640 EnableNonClientDpiScaling
       1745   EE 0003C650 EnableOneCoreTransformMode
       1746   EF 0007B5F0 EnableScrollBar
       1747   F0 0007EF90 EnableSessionForMMCSS
       1748   F1 0002D320 EnableWindow
       1749   F2 0002DC10 EndDeferWindowPos
       1750   F3 0003C6C0 EndDeferWindowPosEx
       1751   F4 00014B20 EndDialog
       1752   F5 0003C6D0 EndMenu
       1753   F6 0003C6E0 EndPaint
       1754   F7 0003E370 EndTask
       1755   F8 00079610 EnterReaderModeHelper
       1756   F9 000168A0 EnumChildWindows
       1757   FA 00084EE0 EnumClipboardFormats
       1758   FB 00058570 EnumDesktopWindows
       1759   FC 000585A0 EnumDesktopsA
       1760   FD 000585C0 EnumDesktopsW
       1761   FE 00015470 EnumDisplayDevicesA
       1762   FF 0002C5D0 EnumDisplayDevicesW
       1763  100 0003C6F0 EnumDisplayMonitors
       1764  101 00015260 EnumDisplaySettingsA
       1765  102 00015290 EnumDisplaySettingsExA
       1766  103 00016B90 EnumDisplaySettingsExW
       1767  104 00016B60 EnumDisplaySettingsW
       1768  105 000585E0 EnumPropsA
       1769  106 00058600 EnumPropsExA
       1770  107 00058620 EnumPropsExW
       1771  108 00058640 EnumPropsW
       1772  109 00016670 EnumThreadWindows
       1773  10A 00058660 EnumWindowStationsA
       1774  10B 00058680 EnumWindowStationsW
       1775  10C 00016640 EnumWindows
       1776  10D 000289D0 EqualRect
       1777  10E 0007D2D0 EvaluateProximityToPolygon
       1778  10F 0007D8B0 EvaluateProximityToRect
       1779  110 0003C700 ExcludeUpdateRgn
       1780  111 00060240 ExitWindowsEx
       1781  112 0001FB30 FillRect
       1782  113 00024BB0 FindWindowA
       1783  114 000804D0 FindWindowExA
       1784  115 0002F2E0 FindWindowExW
       1785  116 0003B190 FindWindowW
       1786  117 00084F50 FlashWindow
       1787  118 0003C710 FlashWindowEx
       1788  119 0002BF40 FrameRect
       1789  11A 000627F0 FreeDDElParam
       1790  11B 0003C720 FrostCrashedWindow
       1791  11C 0002D340 GetActiveWindow
       1792  11D 00080500 GetAltTabInfo
       1793  11E 00080500 GetAltTabInfoA
       1794  11F 00089550 GetAltTabInfoW
       1795  120 0003C740 GetAncestor
       1797  121 0002CD70 GetAppCompatFlags
       1796  122 00037500 GetAppCompatFlags2
       1798  123 0002A360 GetAsyncKeyState
       1799  124 0003C750 GetAutoRotationState
       1800  125 00084FE0 GetAwarenessFromDpiAwarenessContext
       1801  126 0003C760 GetCIMSSM
       1802  127 0002A160 GetCapture
       1803  128 0003C770 GetCaretBlinkTime
       1804  129 0003C780 GetCaretPos
       1805  12A 00024F40 GetClassInfoA
       1806  12B 00024F90 GetClassInfoExA
       1807  12C 00031D60 GetClassInfoExW
       1808  12D 00031CE0 GetClassInfoW
       1809  12E 00025430 GetClassLongA
       1810  12F 00039770 GetClassLongW
       1811  130 00028770 GetClassNameA
       1812  131 0003B080 GetClassNameW
       1813  132 00057AA0 GetClassWord
       1814  133 00026FA0 GetClientRect
       1815  134 0003C790 GetClipCursor
       1816  135 0003C7A0 GetClipboardAccessToken
       1817  136 0002D370 GetClipboardData
       1818  137 00014500 GetClipboardFormatNameA
       1819  138 0002F2C0 GetClipboardFormatNameW
       1820  139 0002FB60 GetClipboardOwner
       1821  13A 0002FA80 GetClipboardSequenceNumber
       1822  13B 000821D0 GetClipboardViewer
       1823  13C 0003C7B0 GetComboBoxInfo
       1824  13D 0003C7C0 GetCurrentInputMessageSource
       1825  13E 0003C7D0 GetCursor
       1826  13F 0005B2E0 GetCursorFrameInfo
       1827  140 0003C7E0 GetCursorInfo
       1828  141 0002A920 GetCursorPos
       1829  142 0003AD20 GetDC
       1830  143 0003C7F0 GetDCEx
       1831  144 0003C800 GetDesktopID
       1832  145 0001FBA0 GetDesktopWindow
       1833  146 000249F0 GetDialogBaseUnits
       1834  147 000631A0 GetDialogControlDpiChangeBehavior
       1835  148 000631D0 GetDialogDpiChangeBehavior
       1836  149 0003C810 GetDisplayAutoRotationPreferences
       1837  14A 0002EED0 GetDisplayConfigBufferSizes
       1838  14B 00023430 GetDlgCtrlID
       1839  14C 000148C0 GetDlgItem
       1840  14D 000137B0 GetDlgItemInt
       1841  14E 0008B340 GetDlgItemTextA
       1842  14F 00014850 GetDlgItemTextW
       1843  150 0003C830 GetDoubleClickTime
       1844  151 0003B9A0 GetDpiForMonitorInternal
       1845  152 000350E0 GetDpiForSystem
       1846  153 00025C60 GetDpiForWindow
       1847  154 00085030 GetDpiFromDpiAwarenessContext
       1848  155 00029AF0 GetFocus
       1849  156 0003C840 GetForegroundWindow
       1850  157 0003C850 GetGUIThreadInfo
       1851  158 0003C860 GetGestureConfig
       1852  159 00058BB0 GetGestureExtraArgs
       1853  15A 00058BD0 GetGestureInfo
       1854  15B 0003C870 GetGuiResources
       1855  15C 000298B0 GetIconInfo
       1856  15D 0005B320 GetIconInfoExA
       1857  15E 0005B430 GetIconInfoExW
       1858  15F 00085080 GetInputDesktop
       1859  160 0003C880 GetInputLocaleInfo
       1860  161 0002BD20 GetInputState
       1861  162 0003C8C0 GetInternalWindowPos
       1862  163 00085090 GetKBCodePage
       1863  164 00080530 GetKeyNameTextA
       1864  165 00089580 GetKeyNameTextW
       1865  166 000274B0 GetKeyState
       1866  167 0003B0B0 GetKeyboardLayout
       1867  168 0003C8D0 GetKeyboardLayoutList
       1868  169 000805A0 GetKeyboardLayoutNameA
       1869  16A 0002F330 GetKeyboardLayoutNameW
       1870  16B 0003C8E0 GetKeyboardState
       1871  16C 000850A0 GetKeyboardType
       1872  16D 0002C690 GetLastActivePopup
       1873  16E 00028C20 GetLastInputInfo
       1874  16F 0003C8F0 GetLayeredWindowAttributes
       1875  170 0003C900 GetListBoxInfo
       1876  171 00073930 GetMagnificationDesktopColorEffect
       1877  172 000739B0 GetMagnificationDesktopMagnification
       1878  173 00073A40 GetMagnificationDesktopSamplingMode
       1879  174 0003C910 GetMagnificationLensCtxInformation
       1880  175 000234D0 GetMenu
       1881  176 0003C920 GetMenuBarInfo
       1882  177 00075CC0 GetMenuCheckMarkDimensions
       1883  178 00075D00 GetMenuContextHelpId
       1884  179 00075D30 GetMenuDefaultItem
       1885  17A 000598E0 GetMenuInfo
       1886  17B 00023490 GetMenuItemCount
       1887  17C 00023580 GetMenuItemID
       1888  17D 0008B380 GetMenuItemInfoA
       1889  17E 00022AE0 GetMenuItemInfoW
       1890  17F 0003C930 GetMenuItemRect
       1891  180 00022A20 GetMenuState
       1892  181 0008B420 GetMenuStringA
       1893  182 00025380 GetMenuStringW
       1894  183 00028C90 GetMessageA
       1895  184 0002ED10 GetMessageExtraInfo
       1896  185 0002D290 GetMessagePos
       1897  186 0002D2A0 GetMessageTime
       1898  187 0003A820 GetMessageW
       1899  188 00029910 GetMonitorInfoA
       1900  189 00034FF0 GetMonitorInfoW
       1901  18A 0003C950 GetMouseMovePointsEx
       1902  18B 00063450 GetNextDlgGroupItem
       1903  18C 000252D0 GetNextDlgTabItem
       1904  18D 0003BFB8 GetOpenClipboardWindow
       1905  18E 000258B0 GetParent
       1906  18F 0002F560 GetPhysicalCursorPos
       1907  190 0003C980 GetPointerCursorId
       1908  191 0003C990 GetPointerDevice
       1909  192 0003C9A0 GetPointerDeviceCursors
       1910  193 0003C9B0 GetPointerDeviceProperties
       1911  194 0003C9C0 GetPointerDeviceRects
       1912  195 0003C9D0 GetPointerDevices
       1913  196 0003C9E0 GetPointerFrameArrivalTimes
       1914  197 0005A580 GetPointerFrameInfo
       1915  198 0005A5B0 GetPointerFrameInfoHistory
       1916  199 0005A5E0 GetPointerFramePenInfo
       1917  19A 0005A620 GetPointerFramePenInfoHistory
       1918  19B 0005A650 GetPointerFrameTouchInfo
       1919  19C 0005A690 GetPointerFrameTouchInfoHistory
       1920  19D 0005A6C0 GetPointerInfo
       1921  19E 0005A700 GetPointerInfoHistory
       1922  19F 0003C9F0 GetPointerInputTransform
       1923  1A0 0005A730 GetPointerPenInfo
       1924  1A1 0005A770 GetPointerPenInfoHistory
       1925  1A2 0005A7B0 GetPointerTouchInfo
       1926  1A3 0005A7F0 GetPointerTouchInfoHistory
       1927  1A4 0003CA00 GetPointerType
       1928  1A5 000821F0 GetPriorityClipboardFormat
       1929  1A6 00085170 GetProcessDefaultLayout
       1930  1A7 0002F270 GetProcessDpiAwarenessInternal
       2521  1A8 0003CA20 GetProcessUIContextInformation
       1931  1A9 0003CA30 GetProcessWindowStation
       1932  1AA 00085190 GetProgmanWindow
       1933  1AB 00029A70 GetPropA
       1934  1AC 00039A80 GetPropW
       1935  1AD 00039EF0 GetQueueStatus
       1936  1AE 0006A9E0 GetRawInputBuffer
       1937  1AF 0003CA50 GetRawInputData
       1938  1B0 0008B470 GetRawInputDeviceInfoA
       1939  1B1 00086440 GetRawInputDeviceInfoW
       1940  1B2 0003CA60 GetRawInputDeviceList
       1941  1B3 0003CA70 GetRawPointerDeviceData
       1942  1B4 0007A0C0 GetReasonTitleFromReasonCode
       1943  1B5 0003CA80 GetRegisteredRawInputDevices
       1944  1B6 0003CAA0 GetScrollBarInfo
       1945  1B7 00018E40 GetScrollInfo
       1946  1B8 0001F7A0 GetScrollPos
       1947  1B9 0002E1D0 GetScrollRange
       1948  1BA 00085200 GetSendMessageReceiver
       1949  1BB 0002EDB0 GetShellWindow
       1950  1BC 00023370 GetSubMenu
       1951  1BD 00031870 GetSysColor
       1952  1BE 0002B250 GetSysColorBrush
       1953  1BF 0003CAB0 GetSystemDpiForProcess
       1954  1C0 0003CAC0 GetSystemMenu
       1955  1C1 00032DC0 GetSystemMetrics
       1956  1C2 000172F0 GetSystemMetricsForDpi
       1957  1C3 00060870 GetTabbedTextExtentA
       1958  1C4 00060910 GetTabbedTextExtentW
       1959  1C5 00085220 GetTaskmanWindow
       1960  1C6 0003CAD0 GetThreadDesktop
       1961  1C7 0003A950 GetThreadDpiAwarenessContext
       1962  1C8 00085290 GetThreadDpiHostingBehavior
       1963  1C9 0003CAE0 GetTitleBarInfo
       1964  1CA 0003CAF0 GetTopLevelWindow
       1965  1CB 00025740 GetTopWindow
       1966  1CC 0005B8F0 GetTouchInputInfo
       1967  1CD 000852E0 GetUnpredictedMessagePos
       1968  1CE 0002BD60 GetUpdateRect
       1969  1CF 0002AD70 GetUpdateRgn
       1970  1D0 00082220 GetUpdatedClipboardFormats
       1971  1D1 0002FE40 GetUserObjectInformationA
       1972  1D2 0003CB10 GetUserObjectInformationW
       1973  1D3 000852F0 GetUserObjectSecurity
       1974  1D4 00085330 GetWinStationInfo
       1975  1D5 00039600 GetWindow
       1976  1D6 0003CB20 GetWindowBand
       1977  1D7 0003CB30 GetWindowCompositionAttribute
       1978  1D8 0003CB40 GetWindowCompositionInfo
       1979  1D9 00085350 GetWindowContextHelpId
       1980  1DA 0003CB50 GetWindowDC
       1981  1DB 0003CB60 GetWindowDisplayAffinity
       1982  1DC 0002AE60 GetWindowDpiAwarenessContext
       1983  1DD 00085370 GetWindowDpiHostingBehavior
       1984  1DE 0003CB70 GetWindowFeedbackSetting
       1985  1DF 00016CD0 GetWindowInfo
       1986  1E0 00028950 GetWindowLongA
       1987  1E1 00038740 GetWindowLongW
       1988  1E2 0003CB90 GetWindowMinimizeRect
       1989  1E3 0008B560 GetWindowModuleFileName
       1990  1E4 0008B560 GetWindowModuleFileNameA
       1991  1E5 00086460 GetWindowModuleFileNameW
       1992  1E6 0003CBA0 GetWindowPlacement
       1993  1E7 0003CBB0 GetWindowProcessHandle
       1994  1E8 00035E30 GetWindowRect
       1995  1E9 0002D750 GetWindowRgn
       1996  1EA 00035660 GetWindowRgnBox
       1997  1EB 0003CBC0 GetWindowRgnEx
       1998  1EC 0001A860 GetWindowTextA
       1999  1ED 0002E940 GetWindowTextLengthA
       2000  1EE 0001F750 GetWindowTextLengthW
       2003  1EF 0001A8E0 GetWindowTextW
       2004  1F0 00039C70 GetWindowThreadProcessId
       2006  1F1 0002EC00 GetWindowWord
       2007  1F2 0003CBD0 GhostWindowFromHungWindow
       2008  1F3 000853F0 GrayStringA
       2009  1F4 00085420 GrayStringW
       2505  1F5 0003CBE0 HandleDelegatedInput
       2011  1F6 0002E550 HideCaret
       2012  1F7 0003CC00 HiliteMenuItem
       2013  1F8 0003CC10 HungWindowFromGhostWindow
       2014  1F9 00081740 IMPGetIMEA
       2015  1FA 00081780 IMPGetIMEW
       2016  1FB 000817C0 IMPQueryIMEA
       2017  1FC 00081800 IMPQueryIMEW
       2018  1FD 00081840 IMPSetIMEA
       2019  1FE 00081880 IMPSetIMEW
       2020  1FF 0003CC20 ImpersonateDdeClientWindow
       2021  200 0002FAA0 InSendMessage
       2022  201 00028DC0 InSendMessageEx
       2023  202 000176B0 InflateRect
       2024  203 0003CC30 InheritWindowMonitor
       2025  204 0002E2D0 InitDManipHook
       2026  205 0003CC40 InitializeGenericHidInjection
       2027  206 0003CC50 InitializeInputDeviceInjection
       2028  207 0003B7D0 InitializeLpkHooks
       2029  208 0003CC60 InitializePointerDeviceInjection
       2030  209 0003CC70 InitializePointerDeviceInjectionEx
       2031  20A 0003CC80 InitializeTouchInjection
       2032  20B 0003CC90 InjectDeviceInput
       2033  20C 0003CCA0 InjectGenericHidInput
       2034  20D 0003CCB0 InjectKeyboardInput
       2035  20E 0003CCC0 InjectMouseInput
       2036  20F 0003CCD0 InjectPointerInput
       2037  210 0003CCE0 InjectTouchInput
       2038  211 0008B5B0 InsertMenuA
       2039  212 0008B600 InsertMenuItemA
       2040  213 000226C0 InsertMenuItemW
       2041  214 000864B0 InsertMenuW
       2042  215 0008A880 InternalGetWindowIcon
       2043  216 0002A690 InternalGetWindowText
       2044  217 00026BB0 IntersectRect
       2045  218 0003CD00 InvalidateRect
       2046  219 0003CD10 InvalidateRgn
       2047  21A 0008E150 InvertRect
       2048  21B 00082250 IsCharAlphaA
       2049  21C 00082270 IsCharAlphaNumericA
       2050  21D 00082290 IsCharAlphaNumericW
       2051  21E 000822B0 IsCharAlphaW
       2052  21F 000822D0 IsCharLowerA
       2053  220 000822F0 IsCharLowerW
       2054  221 00082310 IsCharUpperA
       2055  222 00082330 IsCharUpperW
       2056  223 00014F50 IsChild
       2057  224 0002DED0 IsClipboardFormatAvailable
       2058  225 00016360 IsDialogMessage
       2059  226 00016360 IsDialogMessageA
       2060  227 0001A1C0 IsDialogMessageW
       2061  228 000147B0 IsDlgButtonChecked
       2062  229 0002E8E0 IsGUIThread
       2063  22A 0007EFB0 IsHungAppWindow
       2064  22B 00023A80 IsIconic
       2065  22C 0002E730 IsImmersiveProcess
       2066  22D 0007EFD0 IsInDesktopWindowBand
       2067  22E 00025400 IsMenu
       2068  22F 0003CD30 IsMouseInPointerEnabled
       2069  230 0003CD60 IsOneCoreTransformMode
       2070  231 0003A1B0 IsProcessDPIAware
       2071  232 000854F0 IsQueueAttached
       2072  233 00028040 IsRectEmpty
       2073  234 0007A1F0 IsSETEnabled
       2074  235 00029B00 IsServerSideWindow
       2075  236 000352F0 IsThreadDesktopComposited
       2528  237 0002BDF0 IsThreadMessageQueueAttached
       2076  238 0007E290 IsThreadTSFEventAware
       2077  239 0003CD80 IsTopLevelWindow
       2078  23A 0003CD90 IsTouchWindow
       2079  23B 00085540 IsValidDpiAwarenessContext
       2080  23C 0001ED10 IsWinEventHookInstalled
       2081  23D 00037860 IsWindow
       2082  23E 00085560 IsWindowArranged
       2083  23F 00027D40 IsWindowEnabled
       2084  240 00028410 IsWindowInDestroy
       2085  241 0002B360 IsWindowRedirectedForPrint
       2086  242 00027380 IsWindowUnicode
       2087  243 00026DC0 IsWindowVisible
       2088  244 0005A290 IsWow64Message
       2089  245 00028360 IsZoomed
       2090  246 0003CDC0 KillTimer
       2091  247 00029BD0 LoadAcceleratorsA
       2092  248 00029C20 LoadAcceleratorsW
       2093  249 0002F990 LoadBitmapA
       2094  24A 0002F6A0 LoadBitmapW
       2095  24B 0002AEB0 LoadCursorA
       2096  24C 000550B0 LoadCursorFromFileA
       2097  24D 00055110 LoadCursorFromFileW
       2098  24E 00034190 LoadCursorW
       2099  24F 0002E9C0 LoadIconA
       2100  250 00031CB0 LoadIconW
       2101  251 0002EE90 LoadImageA
       2102  252 00032F30 LoadImageW
       2103  253 000855A0 LoadKeyboardLayoutA
       2104  254 00085610 LoadKeyboardLayoutEx
       2105  255 00085640 LoadKeyboardLayoutW
       2106  256 00085660 LoadLocalFonts
       2107  257 00013BE0 LoadMenuA
       2108  258 00013F10 LoadMenuIndirectA
       2109  259 00013F10 LoadMenuIndirectW
       2110  25A 00013E30 LoadMenuW
