Microsoft (R) COFF/PE Dumper Version 14.14.26433.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file win10-wow64-imm32.dll

File Type: DLL

  Section contains the following exports for IMM32.dll

    00000000 characteristics
     EF4612D time date stamp
        0.00 version
           1 ordinal base
         137 number of functions
         137 number of names

    ordinal hint RVA      name

          1    0 000189E0 CtfImmAppCompatEnableIMEonProtectedCode
          2    1 00003E70 CtfImmCoUninitialize
          3    2 00004CF0 CtfImmDispatchDefImeMessage
          4    3 00018A10 CtfImmEnterCoInitCountSkipMode
          5    4 0000E140 CtfImmGenerateMessage
          6    5 00018A30 CtfImmGetCompatibleKeyboardLayout
          7    6 00018A50 CtfImmGetGlobalIMEStatus
          8    7 00018A80 CtfImmGetGuidAtom
          9    8 00018AF0 CtfImmGetIMEFileName
         10    9 00003C00 CtfImmGetTMAEFlags
         11    A 00018B90 CtfImmHideToolbarWnd
         12    B 00018C30 CtfImmIsCiceroEnabled
         13    C 00018C60 CtfImmIsCiceroStartedInThread
         14    D 00018C90 CtfImmIsComStartedInThread
         15    E 00018CC0 CtfImmIsGuidMapEnable
         16    F 00018D30 CtfImmIsTextFrameServiceDisabled
         17   10 000043D0 CtfImmLastEnabledWndDestroy
         18   11 00018D40 CtfImmLeaveCoInitCountSkipMode
         19   12 00004D30 CtfImmNotify
         20   13 00018D70 CtfImmRestoreToolbarWnd
         21   14 00004880 CtfImmSetAppCompatFlags
         22   15 000045B0 CtfImmSetCiceroStartInThread
         23   16 00018DE0 CtfImmSetDefaultRemoteKeyboardLayout
         24   17 000051B0 CtfImmTIMActivate
         25   18 0000E2A0 GetKeyboardLayoutCP
         26   19 0000BA50 ImmActivateLayout
         27   1A 00002040 ImmAssociateContext
         28   1B 00007CB0 ImmAssociateContextEx
         29   1C 00017B60 ImmCallImeConsoleIME
         30   1D 0000BBD0 ImmConfigureIMEA
         31   1E 0000BE00 ImmConfigureIMEW
         32   1F 00007DD0 ImmCreateContext
         33   20 00004830 ImmCreateIMCC
         34   21 00012610 ImmCreateSoftKeyboard
         35   22 00007E40 ImmDestroyContext
         36   23 00004860 ImmDestroyIMCC
         37   24 000127F0 ImmDestroySoftKeyboard
         38   25 0000E310 ImmDisableIME
         39   26 0000E310 ImmDisableIme
         40   27 0000E330 ImmDisableLegacyIME
         41   28 000135D0 ImmDisableTextFrameService
         42   29 000041E0 ImmEnumInputContext
         43   2A 0000EC60 ImmEnumRegisterWordA
         44   2B 0000EDF0 ImmEnumRegisterWordW
         45   2C 0000C040 ImmEscapeA
         46   2D 0000C300 ImmEscapeW
         47   2E 0000C500 ImmFreeLayout
         48   2F 0000E3D0 ImmGenerateMessage
         49   30 00004580 ImmGetAppCompatFlags
         50   31 000086D0 ImmGetCandidateListA
         51   32 00008700 ImmGetCandidateListCountA
         52   33 00008720 ImmGetCandidateListCountW
         53   34 00008880 ImmGetCandidateListW
         54   35 00002E10 ImmGetCandidateWindow
         55   36 000089D0 ImmGetCompositionFontA
         56   37 00002AF0 ImmGetCompositionFontW
         57   38 00008A80 ImmGetCompositionStringA
         58   39 00008B20 ImmGetCompositionStringW
         59   3A 000027D0 ImmGetCompositionWindow
         60   3B 00002FB0 ImmGetContext
         61   3C 00008BC0 ImmGetConversionListA
         62   3D 00008D40 ImmGetConversionListW
         63   3E 000028D0 ImmGetConversionStatus
         64   3F 00003E20 ImmGetDefaultIMEWnd
         65   40 0000D5E0 ImmGetDescriptionA
