Microsoft (R) COFF/PE Dumper Version 14.14.26433.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file winxpjp-user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    48025D7A time date stamp Mon Apr 14 04:22:34 2008
        0.00 version
           1 ordinal base
         732 number of functions
         732 number of names

    ordinal hint RVA      name

          1    0 00018673 ActivateKeyboardLayout
          2    1 00021140 AdjustWindowRect
          3    2 0001E7EA AdjustWindowRectEx
          4    3 0005D4E0 AlignRects
          5    4 00046414 AllowForegroundActivation
          6    5 00011E40 AllowSetForegroundWindow
          7    6 00012156 AnimateWindow
          8    7 00059C27 AnyPopup
          9    8 00021B0E AppendMenuA
         10    9 000132BA AppendMenuW
         11    A 00045F46 ArrangeIconicWindows
         12    B 00021E52 AttachThreadInput
         13    C 0001AFB9 BeginDeferWindowPos
         14    D 00018FE9 BeginPaint
         15    E 0005CA7E BlockInput
         16    F 000203A8 BringWindowToTop
         17   10 0005AEBE BroadcastSystemMessage
         18   11 0005AEBE BroadcastSystemMessageA
         19   12 0005AE97 BroadcastSystemMessageExA
         20   13 00013654 BroadcastSystemMessageExW
         21   14 0000E666 BroadcastSystemMessageW
         22   15 00057DF6 BuildReasonArray
         23   16 0001C5E4 CalcMenuBar
         24   17 0005B216 CallMsgFilter
         25   18 0005B216 CallMsgFilterA
         26   19 0001750E CallMsgFilterW
         27   1A 0001B3C6 CallNextHookEx
         28   1B 0001A97D CallWindowProcA
         29   1C 0001A01E CallWindowProcW
         30   1D 00045F5E CascadeChildWindows
         31   1E 00055039 CascadeWindows
         32   1F 00020487 ChangeClipboardChain
         33   20 0005B400 ChangeDisplaySettingsA
         34   21 0001384E ChangeDisplaySettingsExA
         35   22 000495BD ChangeDisplaySettingsExW
         36   23 00049623 ChangeDisplaySettingsW
         37   24 0003F298 ChangeMenuA
         38   25 0005525E ChangeMenuW
         39   26 00018717 CharLowerA
         40   27 00018845 CharLowerBuffA
         41   28 00009E57 CharLowerBuffW
         42   29 0001B24C CharLowerW
         43   2A 0001C8B0 CharNextA
         44   2B 0005984E CharNextExA
         45   2C 0001B1B0 CharNextW
         46   2D 0001C8DA CharPrevA
         47   2E 00059882 CharPrevExA
         48   2F 0001D607 CharPrevW
         49   30 0000AEF1 CharToOemA
         50   31 00021626 CharToOemBuffA
         51   32 00056E31 CharToOemBuffW
         52   33 00013467 CharToOemW
         53   34 00008D2B CharUpperA
         54   35 0000AE3F CharUpperBuffA
         55   36 00009216 CharUpperBuffW
         56   37 000090D2 CharUpperW
         57   38 00014DCA CheckDlgButton
         58   39 00021ABD CheckMenuItem
         59   3A 000553A2 CheckMenuRadioItem
         60   3B 0004BDE1 CheckRadioButton
         61   3C 0001201F ChildWindowFromPoint
         62   3D 0001200B ChildWindowFromPointEx
         63   3E 00043C33 CliImmSetHotKey
         64   3F 0000A00A ClientThreadSetup
         65   40 00019B60 ClientToScreen
         66   41 0002FDC5 ClipCursor
         67   42 00020265 CloseClipboard
         68   43 0001812F CloseDesktop
         69   44 00045F7F CloseWindow
         70   45 00017D18 CloseWindowStation
         71   46 00046C91 CopyAcceleratorTableA
